name,highway,maxspeed,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,EV1_ma_PD1,node_A,node_B,edge_fid,lanes,bridge,width,ref,service,junction,tunnel,access,osmid_original
Zorgvlietstraat,residential,30,False,False,71.296,169,90,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493643
Zorgvlietstraat,residential,30,True,False,44.983,"[3, 2678]",2,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211382069
Zorgvlietstraat,residential,30,False,True,167.27099999999996,"[974, 2671, 2673, 1938, 2675, 2677]",507,30.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211382070
Zamenhofstraat,residential,30,False,True,62.767,12,9,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493431
Zamenhofstraat,residential,30,False,False,11.36,1538,573,30.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493431
"['Tripstraat', 'Esperantostraat']",residential,30,False,"[False, True]",209.27700000000002,"[1862, 1769, 1770, 2828, 2271]",597,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[452313374, 319575391]"
Lage Nieuwstraat,residential,30,True,False,103.92999999999999,"[1152, 38, 1135, 1151, 2303]",25,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477376
Lange Lombardstraat,residential,50,True,False,56.323,"[9, 21]",7,50.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477335
Paviljoensgracht,residential,30,False,True,93.523,"[1272, 18, 20]",540,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477701
Zamenhofstraat,residential,30,False,True,41.371,"[25, 1540, 1542, 14]",14,30.0,0.001,-9999.0,0.0,2.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493431
Van Boecopkade,residential,30,True,False,77.0,"[2561, 1863, 72, 75, 2829, 2830, 2831, 2832, 2269]",39,30.0,0.006,-9999.0,0.0,2.0,45129556.0,11695230689.0,45129556_11695230689,nan,nan,nan,nan,nan,nan,nan,nan,7493606
Wagenstraat,residential,50,False,False,5.98,34,22,50.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7476074
Stille Veerkade,residential,50,True,False,53.581,"[33, 1642, 724, 1641]",23,50.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7476032, 44805874]"
Wagenstraat,residential,30,False,True,4.489,668,406,30.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,126443284
Bautersemstraat,residential,30,False,True,131.403,"[2820, 2822, 2824, 74, 54]",38,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493417
Zamenhofstraat,residential,30,False,True,43.251000000000005,"[2264, 2328, 1945]",658,30.0,0.001,-9999.0,0.0,2.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211382068
Westeinde,residential,50,False,True,65.839,"[2688, 1128, 16, 1265, 1267, 1815, 1914]",523,50.0,0.001,-9999.0,0.0,0.0,,,nan,3,nan,nan,nan,nan,nan,nan,nan,"[891353010, 7493391]"
Westeinde,residential,50,False,False,152.07,"[35, 39, 44, 49, 2744, 57, 59]",31,50.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493391
Sirtemastraat,residential,30,False,True,166.0,"[2624, 2305, 66, 2307, 1786, 1632, 139, 109, 1776, 81, 1109, 56, 1114, 2620, 2622]",72,30.0,0.012,-9999.0,0.0,0.0,45130349.0,11695230683.0,45130349_11695230683,nan,nan,nan,nan,nan,nan,nan,nan,7493413
Paviljoensgracht,residential,30,False,False,4.799,1271,539,30.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477701
