y,x,street_count,od_id,category,EV1_ma,highway,node_fid
52.0782979,4.2969826,2.0,nan,nan,,nan,
52.0786184,4.2965852,2.0,nan,nan,,nan,
52.0741985,4.2929583,3.0,nan,nan,,nan,
52.074268,4.302837,2.0,nan,nan,,nan,
52.0743,4.3046,2.0,nan,nan,,nan,
52.0742816,4.3120853,2.0,nan,nan,,nan,
52.0743866,4.2938242,3.0,nan,nan,,nan,
52.0745581,4.3151321,4.0,nan,nan,,nan,
52.0746195,4.2942775,3.0,nan,nan,,nan,
52.0746,4.2985,3.0,nan,nan,,nan,
52.0745986,4.310748,3.0,nan,nan,,nan,
52.0744504,4.3133333,2.0,nan,nan,,nan,
52.0745897,4.3150613,4.0,nan,nan,,nan,
52.0747283,4.3041605,3.0,nan,nan,,nan,
52.0748631,4.3070799,3.0,nan,nan,,nan,
52.074926,4.3099655,1.0,nan,nan,,nan,
52.074994,4.3142292,3.0,nan,nan,,nan,
52.0750826,4.300581,2.0,nan,nan,,nan,
52.0750798,4.3055277,3.0,nan,nan,,nan,
52.0754098,4.3033385,3.0,nan,nan,,nan,
52.0754321,4.3065641,3.0,nan,nan,,nan,
52.075652,4.293344,2.0,nan,nan,,nan,
52.0757603,4.312826,3.0,nan,nan,,nan,
52.0760206,4.3025785,3.0,nan,nan,,nan,
52.0759398,4.3044167,3.0,nan,nan,,nan,
52.0764773,4.2952231,2.0,nan,nan,,nan,
52.0765004,4.3038265,4.0,nan,nan,,nan,
52.0764711,4.314311,2.0,nan,nan,,nan,
52.076656,4.2914395,1.0,nan,nan,,nan,
52.0766526,4.2949547,3.0,nan,nan,,nan,
52.0767641,4.2918123,3.0,nan,nan,,nan,
52.076766,4.2928823,3.0,nan,nan,,nan,
52.0768031,4.3019688,3.0,nan,nan,,nan,
52.0769009,4.2918296,3.0,nan,nan,,nan,
52.0769379,4.3035568,3.0,nan,nan,,nan,
52.0769486,4.2914355,3.0,nan,nan,,nan,
52.0769634,4.2956542,3.0,nan,nan,,nan,
52.0769347,4.2992767,3.0,nan,nan,,nan,
52.0769848,4.3007323,2.0,nan,nan,,nan,
52.0771915,4.2961894,3.0,nan,nan,,nan,
52.0772006,4.3033709,3.0,nan,nan,,nan,
52.0772398,4.2891791,3.0,nan,nan,,nan,
52.0774681,4.2968566,3.0,nan,nan,,nan,
52.0776051,4.2883641,4.0,nan,nan,,nan,
52.0776911,4.2999508,1.0,nan,nan,,nan,
52.0776997,4.3030369,4.0,nan,nan,,nan,
