o_node,d_node,origin,destination,opt_path,length,match_ids,hazard,OD
11695230682,11695230689,A_1,B_1,"[11695230682, 45188614, 1165778336, 1165778420, 1165778568, 1165778392, 1165778620, 1165778565, 7006871637, 45171951, 6518598194, 6518598197, 6518598211, 45164368, 45163630, 45162861, 45156141, 45154858, 45153205, 45152371, 45151097, 9496187091, 3787485297, 1166971004, 1166970976, 11126334594, 1166970968, 7283779414, 45130346, 45129556, 11695230689]",2134.016,"[373, 359, 462, 469, 468, 460, 472, 467, 653, 614, 619, 620, 621, 211, 203, 194, 150, 151, 135, 129, 665, 666, 594, 488, 485, 706, 657, 658, 14, 39]",EV1_ma,A_1B_1
11695230682,45181360,A_1,B_2,"[11695230682, 45190237, 1165778288, 45190240, 1165729110, 7817081129, 45187009, 1428497234, 45185141, 45179790, 45178253, 45180609, 45180611, 45174555, 45176824, 9496544821, 9496521289, 9496544822, 45181360]",1737.3559999999998,"[373, 455, 456, 375, 437, 355, 510, 343, 314, 308, 315, 316, 318, 298, 678, 677, 681, 680]",EV1_ma,A_1B_2
11695230682,11695230690,A_1,B_3,"[11695230682, 45190237, 1165778288, 45190240, 1165729110, 7817081129, 45187009, 1428497234, 1435019638, 45187377, 45189431, 6407061859, 11695230690]",1168.304,"[373, 455, 456, 375, 437, 355, 510, 513, 515, 357, 368, 604]",EV1_ma,A_1B_3
1519771739,11695230689,A_2,B_1,"[1519771739, 45148431, 45147385, 11645088388, 6518660414, 2132346832, 2132346912, 9933751458, 45153209, 45151926, 45144913, 45138654, 45139614, 1166971016, 1166970822, 1166970968, 7283779414, 45130346, 45129556, 11695230689]",1513.317,"[524, 99, 100, 708, 637, 552, 690, 137, 127, 91, 45, 52, 489, 479, 481, 657, 658, 14, 39]",EV1_ma,A_2B_1
1519771739,45181360,A_2,B_2,"[1519771739, 45148431, 45151099, 45152376, 45154027, 10295749703, 45156514, 45165486, 9496331435, 1541925898, 6219556080, 45171953, 45174555, 45176824, 9496544821, 9496521289, 9496544822, 45181360]",1376.279,"[524, 123, 134, 142, 694, 695, 221, 674, 675, 536, 600, 280, 298, 678, 677, 681, 680]",EV1_ma,A_2B_2
1519771739,11695230690,A_2,B_3,"[1519771739, 45148431, 45151099, 45152376, 45154027, 10295749703, 45156514, 45165486, 9496331435, 9496331428, 45171544, 45178253, 45180609, 45183728, 1435019605, 11695230690]",1313.8149999999998,"[524, 123, 134, 142, 694, 695, 221, 674, 671, 670, 258, 315, 336, 511, 604]",EV1_ma,A_2B_3
11695230683,11695230689,A_3,B_1,"[11695230683, 45141033, 45144913, 45138654, 45139614, 1166971016, 1166970822, 1166970968, 7283779414, 45130346, 45129556, 11695230689]",1049.1059999999998,"[72, 92, 45, 52, 489, 479, 481, 657, 658, 14, 39]",EV1_ma,A_3B_1
11695230683,45181360,A_3,B_2,"[11695230683, 45141033, 45144913, 45151926, 45153209, 9933751458, 10295749703, 45156514, 45165486, 9496331435, 1541925898, 6219556080, 45171953, 45174555, 45176824, 9496544821, 9496521289, 9496544822, 45181360]",1820.166,"[72, 92, 91, 127, 137, 692, 695, 221, 674, 675, 536, 600, 280, 298, 678, 677, 681, 680]",EV1_ma,A_3B_2
11695230683,11695230690,A_3,B_3,"[11695230683, 45141033, 45144913, 45151926, 45153209, 9933751458, 10295749703, 45156514, 45165486, 9496331435, 9496331428, 45171544, 45178253, 45180609, 45183728, 1435019605, 11695230690]",1757.702,"[72, 92, 91, 127, 137, 692, 695, 221, 674, 671, 670, 258, 315, 336, 511, 604]",EV1_ma,A_3B_3
11695230684,11695230689,A_4,B_1,"[11695230684, 45142500, 45141026, 45140556, 45140088, 1166970478, 1166970976, 11126334594, 1166970968, 7283779414, 45130346, 45129556, 11695230689]",812.405,"[95, 80, 67, 63, 474, 486, 485, 706, 657, 658, 14, 39]",EV1_ma,A_4B_1
